都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_通称,POIコード,住所,方書,緯度,経度,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,説明,バリアフリー情報,ＵＲＬ,備考
270008,,大阪府,,大阪府枚方警察署,,,,枚方市大垣内町2丁目16番8号,,34.8142513,135.6537914,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府茨木警察署,,,,茨木市中穂積1丁目6番38号,,34.8190823,135.558836,,,,,,,,,,,,耐震性能A
270008,,大阪府,,交通機動隊　八尾分駐所,,,,八尾市天王寺屋2-2,,34.602181,135.61396,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察航空隊,,,,八尾市空港1-1,,34.5983698,135.609927,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府八尾警察署,,,,八尾市高町3番18号,,34.6219334,135.5947921,,,,,,,,,,,,耐震性能A
270008,,大阪府,,りんくうタウン別館,,,,泉佐野市りんくう往来北1-13,,34.414294,135.302728,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府泉佐野警察署,,,,泉佐野市上町2丁目1番1号,,34.4096723,135.3208546,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府富田林警察署,,,,富田林市常盤町2番7号,,34.4993108,135.5965972,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府寝屋川警察署,,,,寝屋川市豊野町26番26号,,34.7680927,135.6304634,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府河内長野警察署,,,,河内長野市西之山町6番1号,,34.454791,135.562183,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府松原警察署,,,,松原市阿保1丁目2番26号,,34.5772153,135.5518695,,,,,,,,,,,,耐震性能A
270008,,大阪府,,交通機動隊　大東分駐所,,,,大東市寺川1丁目19番1号,,34.710071,135.643406,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察総合訓練センター,,,,大東市大字龍間1110-1,,34.7145963,135.6692474,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府四條畷警察署,,,,大東市深野3丁目28番1号,,34.719962,135.6338587,,,,,,,,,,,,耐震性能A
270008,,大阪府,,光明池運転免許試験場,,,,和泉市伏屋町5丁目13番1号,,34.4742701,135.4714753,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府和泉警察署,,,,和泉市伯太町2丁目1番7号,,34.4913259,135.4303901,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府箕面警察署,,,,箕面市箕面5丁目11番35号,,34.8309769,135.4709152,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府柏原警察署,,,,柏原市古町2丁目9番9号,,34.5825494,135.6211623,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府羽曳野警察署,,,,羽曳野市誉田4丁目2番1号,,34.5594735,135.6054675,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府門真警察署,,,,門真市柳町13番14号,,34.7358205,135.5888376,,,,,,,,,,,,耐震性能A
270008,,大阪府,,門真運転免許試験場,,,,門真市一番町23番16号,,34.7287215,135.5934234,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府摂津警察署,,,,摂津市南千里丘4番39号,,34.7835972,135.5565089,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府高石警察署,,,,高石市羽衣4丁目2番23号,,34.5330019,135.4371609,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府河内警察署,,,,東大阪市稲葉1丁目7番1号,,34.6709422,135.6142168,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府布施警察署,,,,東大阪市下小阪4丁目1番48号,,34.661876,135.589292,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府枚岡警察署,,,,東大阪市桜町1番8号,,34.6669763,135.6337763,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府泉南警察署,,,,阪南市尾崎町70番地,,34.3600576,135.2411668,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府豊能警察署,,,,豊能郡能勢町地黄650番地の4,,34.9565217,135.46009,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府関西空港警察署,,,,泉南郡田尻町泉州空港中1番地,,34.4335543,135.2378075,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府黒山警察署,,,,堺市美原区小平尾377番地の2,,34.5372257,135.5626633,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察本部芦原別館,,,,大阪市浪速区久保吉2丁目2番3号,,34.6609885,135.4842232,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府城東警察署,,,,大阪市城東区中央1丁目9番41号,,34.70049,135.544145,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府交野警察署,,,,交野市倉治1-40-1,,34.793665,135.692053,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府福島警察署,,,,大阪市福島区吉野3丁目17番19号,,34.691755,135.473007,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察本部河内別館,,,,東大阪市稲葉1丁目7番7号,,34.670355,135.614245,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府和泉警察署,,,,和泉市伯太町2丁目1番3号,,34.491776,135.430794,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府豊中警察署,,,,豊中市南桜塚３丁目４番１１号,,34.777845,135.473043,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察学校,,,,泉南郡田尻町りんくうポート南１－１,,34.395687,135.284774,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府天満警察署,,,,大阪市北区西天満1丁目12番12号,,34.695032,135.505562,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察　大手前立体駐車場,,,,大阪市中央区大手前3-3-3,,34.684697,135.518647,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府南警察署　第二別館,,,,大阪市中央区島之内1丁目13－22,,34.672455,135.507326,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大阪府警察第二方面機動警ら隊,,,,大阪市淀川区十三本町3丁目7番27号,,34.722874,135.481653,,,,,,,,,,,,耐震性能A
270008,,大阪府,,北野高等学校,,,,大阪市淀川区新北野２丁目５番１３号,,34.7154151,135.4779031,,,,,,,,,,,,耐震性能A
270008,,大阪府,,東淀川高等学校,,,,大阪市淀川区宮原４丁目４番５号,,34.7363402,135.4971313,,,,,,,,,,,,耐震性能A
270008,,大阪府,,北淀高等学校（淀川清流高等学校）,,,,大阪市東淀川区豊里２丁目１１番３５号,,34.7392674,135.5369139,,,,,,,,,,,,耐震性能A
270008,,大阪府,,柴島高等学校,,,,大阪市東淀川区柴島１丁目７番１０６号,,34.7297009,135.5102634,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大手前高等学校,,,,大阪市中央区大手前２丁目１番１１号,,34.6872515,135.5192435,,,,,,,,,,,,耐震性能A
270008,,大阪府,,旭高等学校,,,,大阪市旭区高殿５丁目６番４１号,,34.7182374,135.5421817,,,,,,,,,,,,耐震性能A
270008,,大阪府,,茨田高等学校,,,,大阪市鶴見区安田１丁目５番４９号,,34.7037117,135.5873555,,,,,,,,,,,,耐震性能A
270008,,大阪府,,清水谷高等学校,,,,大阪市天王寺区清水谷町２番４４号,,34.674815,135.5248136,,,,,,,,,,,,耐震性能A
270008,,大阪府,,高津高等学校,,,,大阪市天王寺区餌差町１０番４７号,,34.6698527,135.5248439,,,,,,,,,,,,耐震性能A
270008,,大阪府,,夕陽丘高等学校,,,,大阪市天王寺区北山町１０番１０号,,34.6588354,135.5222905,,,,,,,,,,,,耐震性能A
270008,,大阪府,,港高等学校,,,,大阪市港区波除２丁目３番１号,,34.6712557,135.4657173,,,,,,,,,,,,耐震性能A
270008,,大阪府,,市岡高等学校,,,,大阪市港区市岡元町２丁目１２番１２号,,34.6675011,135.4666185,,,,,,,,,,,,耐震性能A
270008,,大阪府,,泉尾高等学校（大正白稜高等学校）,,,,大阪市大正区泉尾３丁目１９番５０号,,34.6589236,135.4704595,,,,,,,,,,,,耐震性能A
270008,,大阪府,,大正高等学校,,,,大阪市大正区泉尾７丁目１１番２０号,,34.6572828,135.4659278,,,,,,,,,,,,耐震性能A
270008,,大阪府,,今宮高等学校,,,,大阪市浪速区戎本町２丁目７番３９号,,34.6525649,135.4986441,,,,,,,,,,,,耐震性能A
270008,,大阪府,,勝山高等学校,,,,大阪市生野区巽東３丁目１０番７５号,,34.6505262,135.5595624,,,,,,,,,,,,耐震性能A
270008,,大阪府,,西成高等学校,,,,大阪市西成区津守１丁目１３番１０号,,34.6471943,135.4818749,,,,,,,,,,,,耐震性能A
270008,,大阪府,,天王寺高等学校,,,,大阪市阿倍野区三明町２丁目４番２３号,,34.6399697,135.5209816,,,,,,,,,,,,耐震性能A
270008,,大阪府,,阿倍野高等学校,,,,大阪市阿倍野区阪南町１丁目３０番３４号,,34.6354325,135.514909,,,,,,,,,,,,耐震性能A
270008,,大阪府,,住吉高等学校,,,,大阪市阿倍野区北畠２丁目４番１号,,34.6276418,135.5036974,,,,,,,,,,,,耐震性能A
270008,,大阪府,,東住吉高等学校,,,,大阪市平野区平野西２丁目３番７７号,,34.6176078,135.541656,,,,,,,,,,,,耐震性能A
270008,,大阪府,,長吉高等学校,,,,大阪市平野区長吉長原西３丁目１１番３３号,,34.5995324,135.5661982,,,,,,,,,,,,耐震性能A
270008,,大阪府,,平野高等学校,,,,大阪市平野区長吉川辺４丁目２番１１号,,34.588992,135.5702315,,,,,,,,,,,,耐震性能A
270008,,大阪府,,阪南高等学校,,,,大阪市住吉区庭井２丁目１８番８１号,,34.5950765,135.5169904,,,,,,,,,,,,耐震性能A
270008,,大阪府,,教育センター附属高等学校,,,,大阪市住吉区苅田４丁目１番７２号,,34.6015323,135.5214053,,,,,,,,,,,,耐震性能A
270008,,大阪府,,池田高等学校,,,,池田市旭丘２丁目２番１号,,34.8200166,135.448481,,,,,,,,,,,,耐震性能A
